2025-12-07 13:15:42 | INFO | config:create_directories:112 | 目录结构初始化完成
2025-12-07 13:15:42 | INFO | run:process_folder_to_images:261 | 在文件夹中找到 3 个Markdown文件: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output
2025-12-07 13:15:42 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630
2025-12-07 13:15:42 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 13:15:42 | ERROR | md2html:convert_md_to_html:381 | Markdown转HTML失败: BeautifulSoup.new_tag() got multiple values for argument 'name'
2025-12-07 13:15:42 | ERROR | run:process_single_markdown_to_images:158 | Markdown转HTML失败: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 13:15:42 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632
2025-12-07 13:15:42 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md
2025-12-07 13:15:42 | ERROR | md2html:convert_md_to_html:381 | Markdown转HTML失败: BeautifulSoup.new_tag() got multiple values for argument 'name'
2025-12-07 13:15:42 | ERROR | run:process_single_markdown_to_images:158 | Markdown转HTML失败: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md
2025-12-07 13:15:42 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637
